,Drug,Disease
7521,PIOGLITAZONE,Adrenomyeloneuropathy
7529,METHYLPREDNISOLONE,Gangliosidosis
7530,CELECOXIB,Wilson disease
7531,DIGOXIN,epilepsy
7532,SIMVASTATIN,epilepsy
7534,FLUMAZENIL,Fragile X syndrome
7535,DEXMEDETOMIDINE,epilepsy
7538,APABETALONE,Fabry disease
7539,THALIDOMIDE,epilepsy
7540,PREDNISONE,Gangliosidosis
7543,SIROLIMUS,Gaucher disease type 2
7544,FINGOLIMOD,Rett syndrome
7546,CANNABIDIOL,Sturge-Weber syndrome
7549,WARFARIN,epilepsy
7556,BUPROPION,Wilson disease
7560,METHYLPREDNISOLONE,Gaucher disease type 2
7563,PREDNISONE,Gaucher disease type 2
7568,CHOLECALCIFEROL,X-linked adrenoleukodystrophy
7570,ATORVASTATIN,epilepsy
7571,SIROLIMUS,Gangliosidosis
7574,RITUXIMAB,Gangliosidosis
7576,ABATACEPT,Behcet's syndrome
7578,REGORAFENIB,metastatic colorectal cancer
7579,BEVACIZUMAB,colorectal carcinoma
7580,LIDOCAINE,colorectal carcinoma
7581,FLUOROURACIL,malignant colon neoplasm
7582,CAPECITABINE,colorectal carcinoma
7584,IRINOTECAN,metastatic colorectal cancer
7585,FLUOROURACIL,colorectal carcinoma
7588,CETUXIMAB,metastatic colorectal cancer
7592,INDOMETHACIN,colorectal carcinoma
7601,CELECOXIB,colorectal carcinoma
7606,IRINOTECAN,colorectal carcinoma
7607,PANITUMUMAB,colorectal adenocarcinoma
7608,AFLIBERCEPT,colorectal adenocarcinoma
7609,CETUXIMAB,colorectal adenocarcinoma
7620,BEVACIZUMAB,colorectal adenocarcinoma
7623,FLUOROURACIL,metastatic colorectal cancer
7626,METFORMIN,colorectal carcinoma
7627,PANITUMUMAB,metastatic colorectal cancer
7628,AFLIBERCEPT,metastatic colorectal cancer
7629,CAPECITABINE,rectum cancer
7630,CETUXIMAB,colorectal carcinoma
7632,SORAFENIB,metastatic colorectal cancer
7633,ASPIRIN,Lynch syndrome
7634,VATALANIB,rectum cancer
7635,REGORAFENIB,malignant colon neoplasm
7637,CAPECITABINE,malignant colon neoplasm
7638,SEMAXANIB,colorectal carcinoma
7639,DEXAMETHASONE,colorectal carcinoma
7640,IPILIMUMAB,metastatic colorectal cancer
7641,ASPIRIN,colorectal carcinoma
7643,CAPECITABINE,metastatic colorectal cancer
7646,BEVACIZUMAB,metastatic colorectal cancer
7647,CEDIRANIB,metastatic colorectal cancer
7658,CAPECITABINE,rectal carcinoma
7659,SUNITINIB,metastatic colorectal cancer
7662,OLAPARIB,metastatic colorectal cancer
7665,BEVACIZUMAB,malignant colon neoplasm
7667,ASPIRIN,malignant colon neoplasm
7670,RIVOCERANIB,colorectal cancer
7672,PANITUMUMAB,colorectal carcinoma
7673,VINCRISTINE,colorectal carcinoma
7676,PANITUMUMAB,malignant colon neoplasm
7677,BEVACIZUMAB,rectum cancer
7679,CETUXIMAB,malignant colon neoplasm
7682,IRINOTECAN,malignant colon neoplasm
7683,FLUOROURACIL,rectum cancer
7684,ERLOTINIB,colorectal carcinoma
7685,IRINOTECAN,colorectal cancer
7686,MASITINIB,metastatic colorectal cancer
7687,FLUOROURACIL,colon adenocarcinoma
7688,FRUQUINTINIB,metastatic colorectal cancer
7695,REGORAFENIB,colorectal carcinoma
7699,IRINOTECAN,colon mucinous adenocarcinoma
7700,IRINOTECAN,colorectal adenocarcinoma
7701,BEVACIZUMAB,colon mucinous adenocarcinoma
7702,FAMITINIB,colorectal adenocarcinoma
7705,NIVOLUMAB,metastatic colorectal cancer
7706,FLUOROURACIL,small intestine carcinoma
7708,PEMBROLIZUMAB,colorectal carcinoma
7712,FLUOROURACIL,anal carcinoma
7718,FLUOROURACIL,Lynch syndrome
7721,FLUOROURACIL,anus cancer
7729,CELECOXIB,malignant colon neoplasm
7733,RAMUCIRUMAB,colorectal carcinoma
7735,CAPECITABINE,colorectal adenocarcinoma
7736,FAMITINIB,metastatic colorectal cancer
7738,IRINOTECAN,rectum cancer
7739,CAPECITABINE,colon adenocarcinoma
7740,FLUOROURACIL,colon mucinous adenocarcinoma
7741,FLUOROURACIL,colorectal adenocarcinoma
7742,COBIMETINIB,colorectal carcinoma
7746,BINIMETINIB,metastatic colorectal cancer
7759,CETUXIMAB,rectum cancer
7760,AVELUMAB,malignant colon neoplasm
7762,DOXORUBICIN,colorectal carcinoma
7770,ATEZOLIZUMAB,colorectal carcinoma
7772,ETOPOSIDE,colorectal cancer
7779,FRUQUINTINIB,colorectal carcinoma
7780,SIMVASTATIN,colorectal carcinoma
7782,CHOLECALCIFEROL,colorectal adenocarcinoma
7797,CELECOXIB,rectum cancer
7799,FLUOROURACIL,rectal carcinoma
7800,BEVACIZUMAB,Lynch syndrome
7803,ROSUVASTATIN,colorectal carcinoma
7804,CYCLOSPORINE,colorectal carcinoma
7817,IRINOTECAN,rectal carcinoma
7820,BEVACIZUMAB,colon adenocarcinoma
7823,ERLOTINIB,metastatic colorectal cancer
7828,CAPECITABINE,colorectal cancer
7876,REGORAFENIB,rectum cancer
7877,METFORMIN,rectum cancer
7880,PACLITAXEL,colorectal carcinoma
7881,GEMCITABINE,rectum cancer
7883,METFORMIN,malignant colon neoplasm
7886,ENMD-981693,colorectal carcinoma
7887,CABAZITAXEL,colorectal carcinoma
7888,GEMCITABINE,metastatic colorectal cancer
7889,GEMCITABINE,colorectal carcinoma
7891,ATEZOLIZUMAB,metastatic colorectal cancer
7894,METFORMIN,colorectal adenocarcinoma
7897,TRASTUZUMAB EMTANSINE,metastatic colorectal cancer
7899,DASATINIB,malignant colon neoplasm
7900,IMATINIB,malignant colon neoplasm
7903,OMEPRAZOLE,colorectal carcinoma
7904,LAPATINIB,metastatic colorectal cancer
7905,VORINOSTAT,colorectal adenocarcinoma
7906,REGORAFENIB,colon adenocarcinoma
7909,PEGFILGRASTIM,malignant colon neoplasm
7912,CEDIRANIB,colorectal carcinoma
7913,REGORAFENIB,colorectal adenocarcinoma
7914,METFORMIN,metastatic colorectal cancer
7917,VANDETANIB,colorectal carcinoma
7918,LINIFANIB,malignant colon neoplasm
7921,THALIDOMIDE,colorectal adenocarcinoma
7922,VELIPARIB,metastatic colorectal cancer
7925,SELUMETINIB,colorectal carcinoma
7926,GEMCITABINE,colorectal adenocarcinoma
7929,IPILIMUMAB,Anal Squamous Cell Carcinoma
7930,PACLITAXEL,Anal Squamous Cell Carcinoma
7931,DOXYCYCLINE,colorectal carcinoma
7932,MK-2206,rectum cancer
7934,NINTEDANIB,colorectal carcinoma
7935,THALIDOMIDE,colorectal carcinoma
7937,AFLIBERCEPT,colorectal carcinoma
7939,THALIDOMIDE,appendix carcinoma
7940,GEMCITABINE,colorectal cancer
7941,BRIVANIB,colorectal adenocarcinoma
7945,FRUQUINTINIB,colorectal adenocarcinoma
7947,PEMETREXED,rectum cancer
7948,NINTEDANIB,appendix cancer
7950,IXABEPILONE,colorectal carcinoma
7963,SARGRAMOSTIM,rectum cancer
7964,ROMIDEPSIN,colorectal carcinoma
7965,AFATINIB,metastatic colorectal cancer
7966,SORAFENIB,rectum cancer
7968,AZACITIDINE,malignant colon neoplasm
7981,GEDATOLISIB,metastatic colorectal cancer
7984,ANLOTINIB,metastatic colorectal cancer
7987,EVEROLIMUS,colorectal carcinoma
7988,PEMBROLIZUMAB,metastatic colorectal cancer
7993,LINIFANIB,rectum cancer
7995,DURVALUMAB,rectum cancer
7999,COBIMETINIB,small intestinal adenocarcinoma
8000,EVEROLIMUS,colorectal adenocarcinoma
8003,MESALAMINE,colorectal carcinoma
8005,IPILIMUMAB,malignant colon neoplasm
8007,AFLIBERCEPT,rectum cancer
8009,ATEZOLIZUMAB,rectum cancer
8012,FLUOROURACIL,Anal Squamous Cell Carcinoma
8015,RUXOLITINIB,colorectal carcinoma
8016,ANLOTINIB,colorectal carcinoma
8021,SARACATINIB,rectum cancer
8022,PEMETREXED,colorectal carcinoma
8023,DOCETAXEL,metastatic colorectal cancer
8026,AZACITIDINE,metastatic colorectal cancer
8029,NIVOLUMAB,colorectal carcinoma
8030,PANOBINOSTAT,colorectal carcinoma
8034,SAPITINIB,colorectal adenocarcinoma
8042,NIVOLUMAB,colorectal adenocarcinoma
8043,PACLITAXEL,small intestinal adenocarcinoma
8044,ENTINOSTAT,rectum cancer
8047,VINORELBINE,malignant colon neoplasm
8049,PACLITAXEL,colorectal adenocarcinoma
8053,TOPOTECAN,malignant colon neoplasm
8054,VELIPARIB,colorectal carcinoma
8066,TRASTUZUMAB,metastatic colorectal cancer
8067,LENALIDOMIDE,colorectal carcinoma
8073,PEMBROLIZUMAB,colorectal adenocarcinoma
8075,SORAFENIB,malignant colon neoplasm
8076,AVELUMAB,rectum cancer
8084,OLAPARIB,colorectal carcinoma
8085,IPILIMUMAB,colon carcinoma
8089,BEVACIZUMAB,colorectal cancer
8091,VORINOSTAT,colorectal carcinoma
8094,IPILIMUMAB,colorectal carcinoma
8098,DASATINIB,rectum cancer
8099,ERLOTINIB,colorectal adenocarcinoma
8101,LINIFANIB,colorectal adenocarcinoma
8103,TIPIFARNIB,colorectal carcinoma
8104,AVELUMAB,colorectal adenocarcinoma
8111,CAPECITABINE,anus cancer
8113,BECATECARIN,colorectal carcinoma
8116,GEMCITABINE,malignant colon neoplasm
8120,ENTINOSTAT,malignant colon neoplasm
8122,NERATINIB,metastatic colorectal cancer
8130,AXITINIB,colorectal carcinoma
8131,GANETESPIB,malignant colon neoplasm
8134,TIVOZANIB,colorectal carcinoma
8135,PEGFILGRASTIM,colorectal carcinoma
8136,SARACATINIB,colorectal adenocarcinoma
8139,REGORAFENIB,colorectal cancer
8148,DURVALUMAB,colorectal carcinoma
8151,VELIPARIB,rectum cancer
8153,GEFITINIB,colorectal carcinoma
8155,MK-2206,malignant colon neoplasm
8156,DURVALUMAB,anal carcinoma
8158,ASPIRIN,rectum cancer
8168,XL-999,colorectal carcinoma
8169,CHOLECALCIFEROL,malignant colon neoplasm
8170,CIXUTUMUMAB,colorectal carcinoma
8171,PEMETREXED,metastatic colorectal cancer
8172,DOCETAXEL,colorectal cancer
8175,CELECOXIB,metastatic colorectal cancer
8188,IMATINIB,rectum cancer
8189,SIMVASTATIN,rectum cancer
8192,COBIMETINIB,metastatic colorectal cancer
8193,TEMSIROLIMUS,metastatic colorectal cancer
8194,SIMVASTATIN,metastatic colorectal cancer
8199,CIXUTUMUMAB,rectum cancer
8200,GANETESPIB,rectum cancer
8202,HYDROXYCHLOROQUINE,colorectal carcinoma
8205,THALIDOMIDE,malignant colon neoplasm
8206,VORINOSTAT,malignant colon neoplasm
8209,CETUXIMAB,anus cancer
8213,NIMOTUZUMAB,colorectal carcinoma
8214,BORTEZOMIB,colorectal carcinoma
8224,FRUQUINTINIB,rectum cancer
8225,RIVOCERANIB,colorectal carcinoma
8231,TRASTUZUMAB,colorectal carcinoma
8234,ANLOTINIB,rectum cancer
8260,CAPECITABINE,ampulla of Vater adenocarcinoma
8268,TREMELIMUMAB,metastatic colorectal cancer
8279,IPILIMUMAB,rectum cancer
8281,AFLIBERCEPT,malignant colon neoplasm
8283,PALBOCICLIB,colon carcinoma
8289,RAMUCIRUMAB,rectum cancer
8290,DOXYCYCLINE,colorectal adenocarcinoma
8294,ROSUVASTATIN,rectum cancer
8305,PERTUZUMAB,metastatic colorectal cancer
8309,CETUXIMAB,colorectal cancer
8314,VORINOSTAT,rectum cancer
8315,RIVOCERANIB,malignant colon neoplasm
8323,RIVOCERANIB,metastatic colorectal cancer
8333,SARGRAMOSTIM,metastatic colorectal cancer
8336,SARGRAMOSTIM,small intestine cancer
8339,MESALAMINE,Lynch syndrome
8354,CABOZANTINIB,colorectal carcinoma
8364,METHOTREXATE,colorectal carcinoma
8367,AZACITIDINE,rectum cancer
8371,PANITUMUMAB,rectum cancer
8373,SARACATINIB,malignant colon neoplasm
8381,DOCETAXEL,anal carcinoma
8382,COBIMETINIB,Appendix Adenocarcinoma
8386,CELECOXIB,colorectal adenocarcinoma
8387,BEVACIZUMAB,rectal carcinoma
8393,FLUOROURACIL,small intestinal adenocarcinoma
8395,PEMBROLIZUMAB,anus cancer
8426,SARGRAMOSTIM,malignant colon neoplasm
8457,NIVOLUMAB,malignant colon neoplasm
8458,AVELUMAB,metastatic colorectal cancer
8459,INTERFERON GAMMA-1B,colorectal carcinoma
8490,FLUOROURACIL,colorectal cancer
8497,IRINOTECAN,small intestinal adenocarcinoma
8502,PEMBROLIZUMAB,malignant colon neoplasm
8509,PEMBROLIZUMAB,small intestinal adenocarcinoma
8512,CARMUSTINE,colorectal carcinoma
8516,SAPITINIB,metastatic colorectal cancer
8527,RAMUCIRUMAB,malignant colon neoplasm
8538,ATEZOLIZUMAB,small intestinal adenocarcinoma
8548,NIMOTUZUMAB,rectum cancer
8571,ALDESLEUKIN,metastatic colorectal cancer
8576,ERGOCALCIFEROL,metastatic colorectal cancer
8593,ERLOTINIB,rectum cancer
8600,SARGRAMOSTIM,colorectal carcinoma
8605,ATEZOLIZUMAB,Appendix Adenocarcinoma
8612,SELUMETINIB,metastatic colorectal cancer
8615,CETUXIMAB,colon carcinoma
8616,CAPECITABINE,small intestine carcinoma
8623,METHOTREXATE,colorectal cancer
8630,ATEZOLIZUMAB,anus cancer
8633,GEFITINIB,metastatic colorectal cancer
8635,CHOLECALCIFEROL,rectum cancer
8650,NIMOTUZUMAB,colorectal cancer
8658,EVEROLIMUS,metastatic colorectal cancer
8668,LAPATINIB,colorectal carcinoma
8673,PEGFILGRASTIM,rectum cancer
8674,DEXAMETHASONE,colorectal adenocarcinoma
8682,PERTUZUMAB,colorectal carcinoma
8688,CELECOXIB,colon carcinoma
8700,DEXAMETHASONE,metastatic colorectal cancer
8701,NIVOLUMAB,Anal Squamous Cell Carcinoma
8703,DURVALUMAB,metastatic colorectal cancer
8708,NIVOLUMAB,rectum cancer
8731,RAMUCIRUMAB,small intestinal adenocarcinoma
8741,NIRAPARIB,colorectal adenocarcinoma
8743,FILGRASTIM,colorectal carcinoma
8744,AVELUMAB,colorectal carcinoma
8762,IRINOTECAN,small intestine carcinoma
8769,CHOLECALCIFEROL,colorectal carcinoma
8771,CIXUTUMUMAB,malignant colon neoplasm
8776,DURVALUMAB,colorectal cancer
8784,PEMBROLIZUMAB,rectum cancer
8792,ERLOTINIB,malignant colon neoplasm
8793,NIVOLUMAB,colon carcinoma
8794,PEGFILGRASTIM,metastatic colorectal cancer
8795,LAPATINIB,gastric intestinal type adenocarcinoma
8802,METHOTREXATE,metastatic colorectal cancer
8821,CAPECITABINE,Anal Squamous Cell Carcinoma
8831,DOXORUBICIN,metastatic colorectal cancer
8835,PANITUMUMAB,colorectal cancer
8843,BEVACIZUMAB,ampulla of Vater adenocarcinoma
8850,CELECOXIB,rectal carcinoma
8852,TREMELIMUMAB,colorectal carcinoma
8857,PEMBROLIZUMAB,anal carcinoma
8861,DEXAMETHASONE,rectum cancer
8886,CYCLOSPORINE,small intestine cancer
8887,PANOBINOSTAT,malignant colon neoplasm
8888,VOXTALISIB,colorectal carcinoma
8889,ORANTINIB,colorectal carcinoma
8890,VANDETANIB,colorectal adenocarcinoma
8891,PACLITAXEL,rectum cancer
8892,PANOBINOSTAT,rectum cancer
8893,SELUMETINIB,rectum cancer
8894,SORAFENIB,rectal carcinoma
8895,UCN-01,appendix carcinoma
8897,SUNITINIB,colorectal carcinoma
8899,DOCETAXEL,colorectal carcinoma
8900,ZOTIRACICLIB,rectum cancer
8901,PROPOFOL,colorectal carcinoma
8902,PIMASERTIB,metastatic colorectal cancer
8904,DIPHENHYDRAMINE,rectum cancer
8907,UCN-01,small intestine lymphoma
8908,LINSITINIB,metastatic colorectal cancer
8913,DASATINIB,small intestine lymphoma
8914,DASATINIB,colorectal carcinoma
8917,IRINOTECAN,anus cancer
8918,PACLITAXEL,small intestine cancer
8919,IRINOTECAN,small intestine cancer
8921,TANESPIMYCIN,colorectal carcinoma
8922,PEMETREXED,colorectal adenocarcinoma
8924,DASATINIB,metastatic colorectal cancer
8925,BINIMETINIB,rectum cancer
8926,BUPARLISIB,metastatic colorectal cancer
8929,PAZOPANIB,colorectal adenocarcinoma
8930,SORAFENIB,colorectal carcinoma
8931,LAPATINIB,colorectal adenocarcinoma
8932,FILGRASTIM,small intestine cancer
8933,TOPOTECAN,small intestine cancer
8934,NITRIC OXIDE,colorectal carcinoma
8935,THALIDOMIDE,metastatic colorectal cancer
8936,PACLITAXEL POLIGLUMEX,colorectal cancer
8939,TREMELIMUMAB,colorectal adenocarcinoma
8944,BUPARLISIB,colorectal carcinoma
8947,BINIMETINIB,malignant colon neoplasm
8952,MOTESANIB,malignant colon neoplasm
8953,PACLITAXEL,anus cancer
8954,SELUMETINIB,colon carcinoma
8955,SEVOFLURANE,colorectal carcinoma
8956,OCTREOTIDE,small intestinal neuroendocrine tumor G1
8959,BECATECARIN,small intestine cancer
8961,ETARACIZUMAB,colorectal carcinoma
8963,ENTINOSTAT,colorectal carcinoma
8964,IMATINIB,colorectal adenocarcinoma
8966,UCN-01,anus cancer
8967,ALVOCIDIB,small intestine cancer
8968,TIVOZANIB,metastatic colorectal cancer
8970,DACOMITINIB,colorectal carcinoma
8972,EPACADOSTAT,rectum cancer
8973,TANESPIMYCIN,small intestine lymphoma
8974,SORAFENIB,colorectal adenocarcinoma
8978,DS-7423,colorectal carcinoma
8980,BRIVANIB,colorectal carcinoma
8981,NINTEDANIB,colon adenocarcinoma
8982,BRIVANIB,metastatic colorectal cancer
8995,ATORVASTATIN,colorectal adenocarcinoma
8997,COPANLISIB,malignant colon neoplasm
8998,VORINOSTAT,small intestine cancer
9000,TEMSIROLIMUS,malignant colon neoplasm
9002,SELUMETINIB,colorectal adenocarcinoma
9004,MIDOSTAURIN,rectum cancer
9016,BINIMETINIB,colorectal carcinoma
9018,MOTESANIB,rectum cancer
9028,METHYLPREDNISOLONE,small intestine cancer
9029,CILENGITIDE,small intestine cancer
9030,LENVATINIB,rectum cancer
9033,NERATINIB,colorectal carcinoma
9036,PIMASERTIB,colorectal carcinoma
9038,NINTEDANIB,rectal carcinoma
9057,ALDESLEUKIN,small intestine cancer
9062,TRASTUZUMAB,anus cancer
9066,SELINEXOR,rectum cancer
9074,ABEMACICLIB,colorectal carcinoma
9080,IMATINIB,colorectal cancer
9086,SEMAXANIB,rectum cancer
9091,PERTUZUMAB,rectum cancer
9093,VORINOSTAT,anus cancer
9094,ETOPOSIDE,small intestine cancer
9098,PACLITAXEL,metastatic colorectal cancer
9101,VANDETANIB,rectum cancer
9107,FULVESTRANT,colorectal carcinoma
9109,DURVALUMAB,colorectal adenocarcinoma
9119,CEDIRANIB,rectum cancer
9126,FLUOROURACIL,gastric intestinal type adenocarcinoma
9129,IMATINIB,colorectal carcinoma
9143,BORTEZOMIB,small intestine cancer
9158,EPACADOSTAT,metastatic colorectal cancer
9160,DOCETAXEL,malignant colon neoplasm
9184,TEMSIROLIMUS,colorectal adenocarcinoma
9188,PERTUZUMAB,colorectal adenocarcinoma
9191,LENALIDOMIDE,malignant colon neoplasm
9199,AZACITIDINE,colorectal carcinoma
9215,IMATINIB,small intestine cancer
9219,SEMAXANIB,colorectal adenocarcinoma
9223,ALDESLEUKIN,colorectal carcinoma
9227,LINSITINIB,colorectal carcinoma
9238,SELUMETINIB,malignant colon neoplasm
9250,CRIZOTINIB,colorectal carcinoma
9264,TOPOTECAN,rectum cancer
9270,CYCLOSPORINE,colorectal adenocarcinoma
9271,TRASTUZUMAB,appendix carcinoma
9272,IRINOTECAN,small intestine lymphoma
9284,SEMAXANIB,malignant colon neoplasm
9307,LENALIDOMIDE,rectum cancer
9322,RIVOCERANIB,colorectal adenocarcinoma
9323,IMIQUIMOD,colorectal carcinoma
9361,ARSENIC TRIOXIDE,colorectal carcinoma
9362,ADAVOSERTIB,metastatic colorectal cancer
9363,DECITABINE,colorectal carcinoma
9371,PERTUZUMAB,malignant colon neoplasm
9425,IRINOTECAN,appendix carcinoma
9442,VALPROIC ACID,colorectal carcinoma
9445,IPILIMUMAB,colorectal adenocarcinoma
9453,NAPROXEN,Lynch syndrome
9469,TACROLIMUS,small intestine cancer
9484,SIROLIMUS,rectum cancer
9496,EVEROLIMUS,malignant colon neoplasm
9511,SIROLIMUS,metastatic colorectal cancer
9512,ERGOCALCIFEROL,colorectal carcinoma
9553,TRASTUZUMAB,small intestine carcinoma
9570,TOCILIZUMAB,colorectal carcinoma
9573,PEMETREXED,non-small cell lung carcinoma
9575,DOCETAXEL,non-small cell lung carcinoma
9576,GEFITINIB,non-small cell lung carcinoma
9577,PACLITAXEL,non-small cell lung carcinoma
9579,ERLOTINIB,non-small cell lung carcinoma
9581,VINORELBINE,non-small cell lung carcinoma
9584,GEMCITABINE,non-small cell lung carcinoma
9587,BEVACIZUMAB,non-small cell lung carcinoma
9589,DACOMITINIB,non-small cell lung carcinoma
9592,ANLOTINIB,non-small cell lung carcinoma
9593,ERLOTINIB,lung adenocarcinoma
9595,VINBLASTINE,non-small cell lung carcinoma
9596,ROPIVACAINE,lung cancer
9598,ATEZOLIZUMAB,non-small cell lung carcinoma
9600,DURVALUMAB,non-small cell lung carcinoma
9603,PEMETREXED,lung adenocarcinoma
9605,AFATINIB,non-small cell lung carcinoma
9612,LIDOCAINE,lung cancer
9616,PROPOFOL,lung cancer
9627,THALIDOMIDE,non-small cell lung carcinoma
9628,DOCETAXEL,squamous cell lung carcinoma
9633,ANLOTINIB,small cell lung carcinoma
9641,ENTRECTINIB,non-small cell lung carcinoma
9659,CRIZOTINIB,non-small cell lung carcinoma
9663,DEXAMETHASONE,lung cancer
9669,DEXMEDETOMIDINE,lung cancer
9670,RIVOCERANIB,squamous cell lung carcinoma
9672,PEGFILGRASTIM,non-small cell lung carcinoma
9673,PEMBROLIZUMAB,non-small cell lung carcinoma
9687,MIDAZOLAM,lung cancer
9689,NIVOLUMAB,non-small cell lung carcinoma
9690,DEXAMETHASONE,non-small cell lung carcinoma
9694,ETOPOSIDE,small cell lung carcinoma
9703,IPILIMUMAB,lung cancer
9704,RAMUCIRUMAB,non-small cell lung carcinoma
9706,RIVOCERANIB,non-small cell lung carcinoma
9712,AFATINIB,squamous cell lung carcinoma
9716,IRINOTECAN,small cell lung carcinoma
9717,ERLOTINIB,lung cancer
9740,NIVOLUMAB,lung cancer
9749,FILGRASTIM,lung cancer
9750,VANDETANIB,non-small cell lung carcinoma
9751,PACLITAXEL,lung cancer
9754,DOCETAXEL,lung cancer
9755,VINORELBINE,lung cancer
9756,PEMETREXED,lung cancer
9757,GEMCITABINE,lung cancer
9760,VINBLASTINE,lung cancer
9762,ETOPOSIDE,squamous cell lung carcinoma
9763,ETOPOSIDE,lung cancer
9765,VINCRISTINE,lung cancer
9767,OLAPARIB,small cell lung carcinoma
9769,EPINEPHRINE,non-small cell lung carcinoma
9770,SUNITINIB,non-small cell lung carcinoma
9771,PACLITAXEL POLIGLUMEX,non-small cell lung carcinoma
9774,SORAFENIB,non-small cell lung carcinoma
9777,MOTESANIB,non-small cell lung carcinoma
9778,AVELUMAB,non-small cell lung carcinoma
9779,PACLITAXEL POLIGLUMEX,lung cancer
9780,FAMITINIB,non-small cell lung carcinoma
9783,ABEMACICLIB,non-small cell lung carcinoma
9787,VINORELBINE,lung carcinoma
9789,VINORELBINE,adenosquamous lung carcinoma
9793,GEFITINIB,squamous cell lung carcinoma
9801,VINCRISTINE,small cell lung carcinoma
9808,PACLITAXEL,adenosquamous lung carcinoma
9809,GEMCITABINE,squamous cell lung carcinoma
9814,PACLITAXEL,lung adenocarcinoma
9816,GEFITINIB,bronchoalveolar adenocarcinoma
9817,ETOPOSIDE,non-small cell lung carcinoma
9822,CEDIRANIB,lung cancer
9827,OBATOCLAX,small cell lung carcinoma
9829,GEFITINIB,lung cancer
9830,ZOLEDRONIC ACID,non-small cell lung carcinoma
9842,BEXAROTENE,non-small cell lung carcinoma
9844,PEMBROLIZUMAB,squamous cell lung carcinoma
9848,VINORELBINE,lung adenocarcinoma
9849,TACEDINALINE,lung cancer
9851,VELIPARIB,non-small cell lung carcinoma
9854,PEMETREXED,squamous cell lung carcinoma
9856,MARIMASTAT,lung cancer
9859,PACLITAXEL,squamous cell lung carcinoma
9861,BEVACIZUMAB,lung cancer
9862,CEMIPLIMAB,non-small cell lung carcinoma
9867,PACLITAXEL,large cell lung carcinoma
9869,NINTEDANIB,non-small cell lung carcinoma
9872,TREMELIMUMAB,non-small cell lung carcinoma
9876,DURVALUMAB,small cell lung carcinoma
9878,PEGFILGRASTIM,lung cancer
9881,DOCETAXEL,lung adenocarcinoma
9893,THALIDOMIDE,lung cancer
9894,TOPOTECAN,non-small cell lung carcinoma
9895,PLINABULIN,non-small cell lung carcinoma
9896,ERIBULIN,non-small cell lung carcinoma
9900,TOPOTECAN,small cell lung carcinoma
9906,TOPOTECAN,lung cancer
9909,CABOZANTINIB,non-small cell lung carcinoma
9910,NIVOLUMAB,squamous cell lung carcinoma
9914,IRINOTECAN,lung cancer
9915,EPACADOSTAT,lung cancer
9923,BUPROPION,lung cancer
9925,CETUXIMAB,lung cancer
9932,IPILIMUMAB,lung adenocarcinoma
9946,VORINOSTAT,lung cancer
9950,DOXORUBICIN,lung cancer
9969,CETUXIMAB,non-small cell lung carcinoma
9970,DACOMITINIB,lung cancer
9973,NIRAPARIB,non-small cell lung carcinoma
9978,ZOLEDRONIC ACID,lung cancer
9989,CELECOXIB,non-small cell lung carcinoma
9990,IPILIMUMAB,non-small cell lung carcinoma
9992,NICOTINE,lung cancer
9993,RIVOCERANIB,small cell lung carcinoma
9995,ISOTRETINOIN,lung cancer
10001,MELATONIN,non-small cell lung carcinoma
10007,PEMETREXED,small cell lung carcinoma
10012,AFLIBERCEPT,non-small cell lung carcinoma
10013,NIVOLUMAB,lung adenocarcinoma
10016,LENVATINIB,non-small cell lung carcinoma
10029,DENOSUMAB,lung cancer
10037,CELECOXIB,lung cancer
10047,DOXORUBICIN,small cell lung carcinoma
10056,IPILIMUMAB,small cell lung carcinoma
10061,PEMBROLIZUMAB,lung cancer
10068,SELUMETINIB,non-small cell lung carcinoma
10069,FRUQUINTINIB,non-small cell lung carcinoma
10071,BEVACIZUMAB,lung adenocarcinoma
10073,ERLOTINIB,large cell lung carcinoma
10079,PEMBROLIZUMAB,small cell lung carcinoma
10081,ETOPOSIDE,lung adenocarcinoma
10082,NIRAPARIB,small cell lung carcinoma
10091,TRETINOIN,non-small cell lung carcinoma
10098,OLAPARIB,non-small cell lung carcinoma
10102,ATEZOLIZUMAB,small cell lung carcinoma
10113,IPILIMUMAB,squamous cell lung carcinoma
10116,ASPIRIN,non-small cell lung carcinoma
10142,TREMELIMUMAB,small cell lung carcinoma
10149,GANETESPIB,lung adenocarcinoma
10157,FILGRASTIM,non-small cell lung carcinoma
10158,CAPECITABINE,non-small cell lung carcinoma
10163,GEFITINIB,adenosquamous lung carcinoma
10169,DEXAMETHASONE,small cell lung carcinoma
10170,CRIZOTINIB,lung adenocarcinoma
10173,VARENICLINE,lung carcinoma
10195,GEFITINIB,lung adenocarcinoma
10198,INFLIXIMAB,lung cancer
10213,PEMBROLIZUMAB,lung adenocarcinoma
10216,GEMCITABINE,lung adenocarcinoma
10217,METFORMIN,lung cancer
10218,CABAZITAXEL,non-small cell lung carcinoma
10219,PAZOPANIB,small cell lung carcinoma
10220,VANDETANIB,lung cancer
10221,PACLITAXEL,bronchoalveolar adenocarcinoma
10222,AFATINIB,small cell lung carcinoma
10223,SORAFENIB,lung cancer
10224,CM-082,non-small cell lung carcinoma
10225,METFORMIN,non-small cell lung carcinoma
10228,TEMSIROLIMUS,non-small cell lung carcinoma
10231,ENTINOSTAT,non-small cell lung carcinoma
