Disease,Disease ID,Drug,Drug ID,Type,Mechanism of action,Action type,Activity,Target,Target ID,Target class
NEUROMYELITIS OPTICA,EFO_0004256,PREDNISONE,CHEMBL635,SMALL MOLECULE,GLUCOCORTICOID RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,NR3C1,ENSG00000113580,NUCLEAR HORMONE RECEPTOR SUBFAMILY 3 GROUP C MEMBER 1
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008520,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA1,ENSG00000111262,VOLTAGE-GATED POTASSIUM CHANNEL
RELAPSING-REMITTING MULTIPLE SCLEROSIS,EFO_0003929,FINGOLIMOD,CHEMBL314854,SMALL MOLECULE,SPHINGOSINE 1-PHOSPHATE RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,S1PR4,ENSG00000125910,EDG RECEPTOR
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNB1,ENSG00000158445,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNS2,ENSG00000156486,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNH7,ENSG00000184611,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,MEMANTINE,CHEMBL807,SMALL MOLECULE,GLUTAMATE [NMDA] RECEPTOR NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE MODULATOR,GRIN2C,ENSG00000161509,NMDA RECEPTOR
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNG4,ENSG00000168418,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA5,ENSG00000130037,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNV2,ENSG00000168263,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,CHOLECALCIFEROL,CHEMBL1042,SMALL MOLECULE,VITAMIN D RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,VDR,ENSG00000111424,NUCLEAR HORMONE RECEPTOR SUBFAMILY 1 GROUP I MEMBER 1
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNC4,ENSG00000116396,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCND1,ENSG00000102057,VOLTAGE-GATED POTASSIUM CHANNEL
NEUROMYELITIS OPTICA,EFO_0004256,MYCOPHENOLATE MOFETIL,CHEMBL1456,SMALL MOLECULE,INOSINE-5'-MONOPHOSPHATE DEHYDROGENASE (IMPDH) INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,IMPDH1,ENSG00000106348,OXIDOREDUCTASE
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNS1,ENSG00000124134,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNC2,ENSG00000166006,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNG3,ENSG00000171126,VOLTAGE-GATED POTASSIUM CHANNEL
RELAPSING-REMITTING MULTIPLE SCLEROSIS,EFO_0003929,IBUPROFEN,CHEMBL521,SMALL MOLECULE,CYCLOOXYGENASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PTGS1,ENSG00000095303,OXIDOREDUCTASE
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNV1,ENSG00000164794,VOLTAGE-GATED POTASSIUM CHANNEL
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008520,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA10,ENSG00000143105,VOLTAGE-GATED POTASSIUM CHANNEL
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008520,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNG1,ENSG00000026559,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNQ2,ENSG00000075043,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,FINGOLIMOD,CHEMBL314854,SMALL MOLECULE,SPHINGOSINE 1-PHOSPHATE RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,S1PR1,ENSG00000170989,EDG RECEPTOR
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNQ3,ENSG00000184156,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNG4,ENSG00000168418,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNH6,ENSG00000173826,VOLTAGE-GATED POTASSIUM CHANNEL
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008520,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNG4,ENSG00000168418,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNV1,ENSG00000164794,VOLTAGE-GATED POTASSIUM CHANNEL
RELAPSING-REMITTING MULTIPLE SCLEROSIS,EFO_0003929,METHYLPREDNISOLONE,CHEMBL650,SMALL MOLECULE,GLUCOCORTICOID RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,NR3C1,ENSG00000113580,NUCLEAR HORMONE RECEPTOR SUBFAMILY 3 GROUP C MEMBER 1
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNS3,ENSG00000170745,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNH3,ENSG00000135519,VOLTAGE-GATED POTASSIUM CHANNEL
NEUROMYELITIS OPTICA,EFO_0004256,MYCOPHENOLATE MOFETIL,CHEMBL1456,SMALL MOLECULE,INOSINE-5'-MONOPHOSPHATE DEHYDROGENASE (IMPDH) INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,IMPDH2,ENSG00000178035,OXIDOREDUCTASE
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008520,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA7,ENSG00000104848,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA3,ENSG00000177272,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNC4,ENSG00000116396,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA6,ENSG00000151079,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DOXYCYCLINE,CHEMBL1433,SMALL MOLECULE,MATRIX METALLOPROTEINASE 8 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,MMP8,ENSG00000118113,METALLO PROTEASE M10A SUBFAMILY
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNB1,ENSG00000158445,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCND1,ENSG00000102057,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCND2,ENSG00000184408,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA10,ENSG00000143105,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNG1,ENSG00000026559,VOLTAGE-GATED POTASSIUM CHANNEL
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008520,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNC1,ENSG00000129159,VOLTAGE-GATED POTASSIUM CHANNEL
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008520,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNB1,ENSG00000158445,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,LIDOCAINE,CHEMBL79,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN8A,ENSG00000196876,VOLTAGE-GATED SODIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNQ2,ENSG00000075043,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNH4,ENSG00000089558,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNH7,ENSG00000184611,VOLTAGE-GATED POTASSIUM CHANNEL
RELAPSING-REMITTING MULTIPLE SCLEROSIS,EFO_0003929,PREDNISONE,CHEMBL635,SMALL MOLECULE,GLUCOCORTICOID RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,NR3C1,ENSG00000113580,NUCLEAR HORMONE RECEPTOR SUBFAMILY 3 GROUP C MEMBER 1
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNF1,ENSG00000162975,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNB2,ENSG00000182674,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNH8,ENSG00000183960,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA1,ENSG00000111262,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNQ3,ENSG00000184156,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNQ4,ENSG00000117013,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNS2,ENSG00000156486,VOLTAGE-GATED POTASSIUM CHANNEL
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008520,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA3,ENSG00000177272,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNG2,ENSG00000178342,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNC1,ENSG00000129159,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,FINGOLIMOD,CHEMBL314854,SMALL MOLECULE,SPHINGOSINE 1-PHOSPHATE RECEPTOR AGONIST,AGONIST,POSITIVE MODULATOR,S1PR4,ENSG00000125910,EDG RECEPTOR
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008520,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNH2,ENSG00000055118,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNQ5,ENSG00000185760,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,SIMVASTATIN,CHEMBL1064,SMALL MOLECULE,HMG-COA REDUCTASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,HMGCR,ENSG00000113161,OXIDOREDUCTASE
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008520,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNF1,ENSG00000162975,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA5,ENSG00000130037,VOLTAGE-GATED POTASSIUM CHANNEL
NEUROMYELITIS OPTICA,EFO_0004256,RITUXIMAB,CHEMBL1201576,ANTIBODY,B-LYMPHOCYTE ANTIGEN CD20 BINDING AGENT,BINDING AGENT,OTHER,MS4A1,ENSG00000156738,CD20 CA2+ CHANNEL FAMILY
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008520,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNS3,ENSG00000170745,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,LIDOCAINE,CHEMBL79,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN4A,ENSG00000007314,VOLTAGE-GATED SODIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,MEMANTINE,CHEMBL807,SMALL MOLECULE,GLUTAMATE [NMDA] RECEPTOR NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE MODULATOR,GRIN1,ENSG00000176884,NMDA RECEPTOR
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008520,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNQ1,ENSG00000053918,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,LIDOCAINE,CHEMBL79,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN11A,ENSG00000168356,VOLTAGE-GATED SODIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNC3,ENSG00000131398,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNH8,ENSG00000183960,VOLTAGE-GATED POTASSIUM CHANNEL
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008520,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNQ3,ENSG00000184156,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA3,ENSG00000177272,VOLTAGE-GATED POTASSIUM CHANNEL
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008520,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA6,ENSG00000151079,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCND3,ENSG00000171385,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,MEMANTINE,CHEMBL807,SMALL MOLECULE,GLUTAMATE [NMDA] RECEPTOR NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE ALLOSTERIC MODULATOR,NEGATIVE MODULATOR,GRIN2B,ENSG00000273079,NMDA RECEPTOR
MULTIPLE SCLEROSIS,EFO_0003885,DOXYCYCLINE,CHEMBL1433,SMALL MOLECULE,MATRIX METALLOPROTEINASE 7 INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,MMP7,ENSG00000137673,METALLO PROTEASE M10A SUBFAMILY
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNH6,ENSG00000173826,VOLTAGE-GATED POTASSIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,LIDOCAINE,CHEMBL79,SMALL MOLECULE,SODIUM CHANNEL ALPHA SUBUNIT BLOCKER,BLOCKER,NEGATIVE MODULATOR,SCN3A,ENSG00000153253,VOLTAGE-GATED SODIUM CHANNEL
MULTIPLE SCLEROSIS,EFO_0003885,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNQ5,ENSG00000185760,VOLTAGE-GATED POTASSIUM CHANNEL
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008520,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNH3,ENSG00000135519,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA2,ENSG00000177301,VOLTAGE-GATED POTASSIUM CHANNEL
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008520,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCND2,ENSG00000184408,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNH2,ENSG00000055118,VOLTAGE-GATED POTASSIUM CHANNEL
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNC1,ENSG00000129159,VOLTAGE-GATED POTASSIUM CHANNEL
RELAPSING-REMITTING MULTIPLE SCLEROSIS,EFO_0003929,METHOTREXATE,CHEMBL34259,SMALL MOLECULE,DIHYDROFOLATE REDUCTASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,DHFR,ENSG00000228716,OXIDOREDUCTASE
SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS,EFO_0008522,DALFAMPRIDINE,CHEMBL284348,SMALL MOLECULE,VOLTAGE-GATED POTASSIUM CHANNEL BLOCKER,BLOCKER,NEGATIVE MODULATOR,KCNA7,ENSG00000104848,VOLTAGE-GATED POTASSIUM CHANNEL
RELAPSING-REMITTING MULTIPLE SCLEROSIS,EFO_0003929,ACETAMINOPHEN,CHEMBL112,SMALL MOLECULE,CYCLOOXYGENASE INHIBITOR,INHIBITOR,NEGATIVE MODULATOR,PTGS1,ENSG00000095303,OXIDOREDUCTASE
